REF_DATE,GEO,DGUID,Coordinate,"Population and dwelling counts (13): Population, 2021 [1]",Symbols,"Population and dwelling counts (13): Population, 2016 [2]",Symbols.1,"Population and dwelling counts (13): Population percentage change, 2016 to 2021 [3]",Symbols.2,"Population and dwelling counts (13): Total private dwellings, 2021 [4]",Symbols.3,"Population and dwelling counts (13): Total private dwellings, 2016 [5]",Symbols.4,"Population and dwelling counts (13): Total private dwellings percentage change, 2016 to 2021 [6]",Symbols.5,"Population and dwelling counts (13): Private dwellings occupied by usual residents, 2021 [7]",Symbols.6,"Population and dwelling counts (13): Private dwellings occupied by usual residents, 2016 [8]",Symbols.7,"Population and dwelling counts (13): Private dwellings occupied by usual residents percentage change, 2016 to 2021 [9]",Symbols.8,"Population and dwelling counts (13): Land area in square kilometres, 2021 [10]",Symbols.9,"Population and dwelling counts (13): Population density per square kilometre, 2021 [11]",Symbols.10,"Population and dwelling counts (13): National population rank, 2021 [12]",Symbols.11,"Population and dwelling counts (13): Province/territory population rank, 2021 [13]",Symbols.12
2021-01-01,Canada,2021A000011124,1,36991981,,35151728,,5.2,,16284235,,15412443,,5.7,,14978941,,14072079,,6.4,,8788702.80,,4.2,,,...,,...
2021-01-01,Newfoundland and Labrador,2021A000210,2,510550,,519716,,-1.8,,269184,,265739,,1.3,,223253,,218673,,2.1,,358170.37,,1.4,,,...,,...
2021-01-01,Division No.  1,2021A00031001,3,271878,,270348,,0.6,,135137,,131336,,2.9,,117178,,112620,,4.0,,9104.58,,29.9,,27,,1,
2021-01-01,Admirals Beach,2021A00051001186,4,97,,135,,-28.1,,76,,80,,-5.0,,48,,62,,-22.6,,24.20,,4.0,,4267,,325,
2021-01-01,Aquaforte,2021A00051001144,5,74,,80,,-7.5,,63,,71,,-11.3,,43,,41,,4.9,,6.88,,10.7,,4387,,339,
2021-01-01,Arnold's Cove,2021A00051001270,6,964,,949,,1.6,,547,,537,,1.9,,434,,392,,10.7,,5.25,,183.8,,2155,,79,
2021-01-01,Avondale,2021A00051001464,7,584,,641,,-8.9,,346,,373,,-7.2,,286,,294,,-2.7,,29.69,,19.7,,2741,,130,
2021-01-01,Bauline,2021A00051001512,8,412,,452,,-8.8,,172,,174,,-1.1,,161,,163,,-1.2,,16.05,,25.7,,3140,,178,
2021-01-01,Bay Bulls,2021A00051001557,9,1566,,1500,,4.4,,631,,589,,7.1,,597,,566,,5.5,,30.60,,51.2,,1624,,55,
2021-01-01,Bay Roberts,2021A00051001409,10,5974,,6012,,-0.6,,2803,,2658,,5.5,,2490,,2413,,3.2,,24.51,,243.7,,651,,14,
2021-01-01,Bay de Verde,2021A00051001347,11,347,,392,,-11.5,,200,,216,,-7.4,,157,,173,,-9.2,,13.24,,26.2,,3358,,203,
2021-01-01,Bishop's Cove,2021A00051001394,12,252,,287,,-12.2,,147,,147,,0.0,,115,,125,,-8.0,,1.90,,132.4,,3671,,240,
2021-01-01,Branch,2021A00051001219,13,177,,228,,-22.4,,142,,174,,-18.4,,96,,108,,-11.1,,16.18,,10.9,,3944,,278,
2021-01-01,Brigus,2021A00051001446,14,699,,723,,-3.3,,506,,446,,13.5,,327,,317,,3.2,,11.48,,60.9,,2527,,107,
2021-01-01,Bryant's Cove,2021A00051001375,15,343,,395,,-13.2,,149,,162,,-8.0,,142,,148,,-4.1,,4.90,,70.0,,3370,,206,
2021-01-01,Cape Broyle,2021A00051001126,16,499,,489,,2.0,,314,,291,,7.9,,228,,211,,8.1,,10.09,,49.5,,2944,,160,
2021-01-01,Carbonear,2021A00051001370,17,4696,,4858,,-3.3,,2289,,2166,,5.7,,2094,,1982,,5.7,,12.44,,377.4,,769,,17,
2021-01-01,Chance Cove,2021A00051001281,18,213,,256,,-16.8,,129,,150,,-14.0,,111,,123,,-9.8,,18.14,,11.7,,3819,,257,
